Date,Channel Name,Total Views,Total Subscribers
2025-03-15,Geo News,9393982641,17800000
2025-03-15,Samma Entertainment,89871726,166000
2025-03-15,Samma News,6134108521,12500000
2025-03-15,Dawn news,706432582,1910000
2025-03-15,Express News,1569712179,4700000
2025-03-15,ARY News,8797407440,14500000
2025-03-15,ARY Digital,62116785469,61700000
2025-03-15,Duniya News,4881253067,8670000
2025-03-15,Aaj News,439901537,1470000
2025-03-15,92 News,1958176653,5670000
2025-03-15,GNN News,1687511919,3470000
2025-03-15,Public News,1152190999,3250000
2025-03-15,24 News hd,3837827830,8590000
2025-03-15,Bol News,3879616751,7750000
2025-03-15,Hum News,457848752,1610000
2025-03-15,Neo news,685210555,2230000
2025-03-16,Geo Entertainment,1426117083,3610000
2025-03-16,Geo News,9398416251,17800000
2025-03-16,Samma Entertainment,89875826,166000
2025-03-16,Samma News,6138210544,12500000
2025-03-16,Dawn news,706739165,1910000
2025-03-16,Express News,1570700783,4700000
2025-03-16,ARY News,8798921047,14500000
2025-03-16,ARY Digital,62145458552,61800000
2025-03-16,Duniya News,4882676549,8670000
2025-03-16,Aaj News,440429426,1470000
2025-03-16,92 News,1958623543,5670000
2025-03-16,GNN News,1688107768,3470000
2025-03-16,Public News,1152399208,3250000
2025-03-16,24 News hd,3838581070,8590000
2025-03-16,Bol News,3880148486,7750000
2025-03-16,Hum News,457994392,1610000
2025-03-16,Neo news,685319045,2230000
2025-03-17,Geo Entertainment,1426634770,3610000
2025-03-17,Geo News,9404318649,17800000
2025-03-17,Samma Entertainment,89881000,166000
2025-03-17,Samma News,6143265618,12500000
2025-03-17,Dawn news,707233448,1910000
2025-03-17,Express News,1571763169,4700000
2025-03-17,ARY News,8801057938,14500000
2025-03-17,ARY Digital,62180583834,61800000
2025-03-17,Duniya News,4884355580,8680000
2025-03-17,Aaj News,441132340,1470000
2025-03-17,92 News,1959303987,5670000
2025-03-17,GNN News,1688749104,3470000
2025-03-17,Public News,1152787532,3250000
2025-03-17,24 News hd,3839318128,8590000
2025-03-17,Bol News,3880944668,7750000
2025-03-17,Hum News,458246514,1610000
2025-03-17,Neo news,685413719,2230000
2025-03-18,Geo Entertainment,1427109777,3610000
2025-03-18,Geo News,9410135633,17800000
2025-03-18,Samma Entertainment,89886096,166000
2025-03-18,Samma News,6147430156,12500000
2025-03-18,Dawn news,707691598,1910000
2025-03-18,Express News,1573003620,4700000
2025-03-18,ARY News,8802860598,14500000
2025-03-18,ARY Digital,62213405639,61800000
2025-03-18,Duniya News,4886394540,8680000
2025-03-18,Aaj News,441508001,1470000
2025-03-18,92 News,1959992103,5670000
2025-03-18,GNN News,1689411516,3470000
2025-03-18,Public News,1153084577,3250000
2025-03-18,24 News hd,3840170649,8590000
2025-03-18,Bol News,3881806867,7750000
2025-03-18,Hum News,458490668,1610000
2025-03-18,Neo news,685510273,2230000
2025-03-19,Geo Entertainment,1427792214,3620000
2025-03-19,Geo News,9416135852,17800000
2025-03-19,Samma Entertainment,89890487,166000
2025-03-19,Samma News,6151811282,12500000
2025-03-19,Dawn news,708216850,1910000
2025-03-19,Express News,1574922752,4710000
2025-03-19,ARY News,8805093867,14500000
2025-03-19,ARY Digital,62246991945,61800000
2025-03-19,Duniya News,4888397715,8680000
2025-03-19,Aaj News,442148386,1470000
2025-03-19,92 News,1960764212,5670000
2025-03-19,GNN News,1690354069,3470000
2025-03-19,Public News,1153566049,3250000
2025-03-19,24 News hd,3840869471,8590000
2025-03-19,Bol News,3882962991,7750000
2025-03-19,Hum News,458700204,1610000
2025-03-19,Neo news,685613224,2230000
2025-03-20,Geo Entertainment,1428960470,3620000
2025-03-20,Geo News,9421978520,17800000
2025-03-20,Samma Entertainment,89894975,166000
2025-03-20,Samma News,6156223540,12500000
2025-03-20,Dawn news,708728354,1910000
2025-03-20,Express News,1576209382,4710000
2025-03-20,ARY News,8807059889,14500000
2025-03-20,ARY Digital,62280703984,61800000
2025-03-20,Duniya News,4890304274,8690000
2025-03-20,Aaj News,442755688,1480000
2025-03-20,92 News,1961461921,5680000
2025-03-20,GNN News,1691241500,3480000
2025-03-20,Public News,1153996062,3250000
2025-03-20,24 News hd,3841815376,8600000
2025-03-20,Bol News,3883737220,7750000
2025-03-20,Hum News,458930479,1610000
2025-03-20,Neo news,685710895,2230000
2025-03-21,Geo Entertainment,1429549802,3620000
2025-03-21,Geo News,9426649244,17800000
2025-03-21,Samma Entertainment,89899354,166000
2025-03-21,Samma News,6159460651,12500000
2025-03-21,Dawn news,709136493,1910000
2025-03-21,Express News,1577281742,4710000
2025-03-21,ARY News,8808681483,14500000
2025-03-21,ARY Digital,62309044730,61900000
2025-03-21,Duniya News,4891644660,8690000
2025-03-21,Aaj News,443206612,1480000
2025-03-21,92 News,1962204458,5680000
2025-03-21,GNN News,1692041910,3480000
2025-03-21,Public News,1154395432,3250000
2025-03-21,24 News hd,3842756157,8600000
2025-03-21,Bol News,3884479611,7760000
2025-03-21,Hum News,459104708,1610000
2025-03-21,Neo news,685794328,2230000
2025-03-22,Geo Entertainment,1430153960,3620000
2025-03-22,Geo News,9432699060,17800000
2025-03-22,Samma Entertainment,89902886,166000
2025-03-22,Samma News,6163505476,12500000
2025-03-22,Dawn news,709600964,1920000
2025-03-22,Express News,1578503302,4710000
2025-03-22,ARY News,8810638286,14500000
2025-03-22,ARY Digital,62340934328,61900000
2025-03-22,Duniya News,4893535909,8690000
2025-03-22,Aaj News,443748468,1480000
2025-03-22,92 News,1963114183,5680000
2025-03-22,GNN News,1692859623,3480000
2025-03-22,Public News,1154737833,3250000
2025-03-22,24 News hd,3843685402,8600000
2025-03-22,Bol News,3885352600,7760000
2025-03-22,Hum News,459314892,1610000
2025-03-22,Neo news,685884729,2230000
2025-03-23,Geo Entertainment,1430612936,3620000
2025-03-23,Geo News,9437567528,17800000
2025-03-23,Samma Entertainment,89906360,166000
2025-03-23,Samma News,6166966382,12500000
2025-03-23,Dawn news,709932397,1920000
2025-03-23,Express News,1579939976,4710000
2025-03-23,ARY News,8812207701,14500000
2025-03-23,ARY Digital,62370545490,61900000
2025-03-23,Duniya News,4894966482,8690000
2025-03-23,Aaj News,444237433,1480000
2025-03-23,92 News,1963841107,5680000
2025-03-23,GNN News,1693397083,3480000
2025-03-23,Public News,1155022380,3250000
2025-03-23,24 News hd,3844616974,8600000
2025-03-23,Bol News,3885973863,7760000
2025-03-23,Hum News,459474582,1620000
2025-03-23,Neo news,686029105,2230000
2025-03-24,Geo Entertainment,1431262447,3620000
2025-03-24,Geo News,9443395912,17900000
2025-03-24,Samma Entertainment,89910276,166000
2025-03-24,Samma News,6171421417,12500000
2025-03-24,Dawn news,710347585,1920000
2025-03-24,Express News,1581132953,4720000
2025-03-24,ARY News,8814040823,14500000
2025-03-24,ARY Digital,62404620405,61900000
2025-03-24,Duniya News,4896471397,8690000
2025-03-24,Aaj News,444669893,1480000
2025-03-24,92 News,1964953677,5690000
2025-03-24,GNN News,1694051698,3480000
2025-03-24,Public News,1155305212,3250000
2025-03-24,24 News hd,3846180226,8610000
2025-03-24,Bol News,3887034824,7760000
2025-03-24,Hum News,459679171,1620000
2025-03-24,Neo news,686175029,2230000
2025-03-25,Geo Entertainment,1431808407,3630000
2025-03-25,Geo News,9448241834,17900000
2025-03-25,Samma Entertainment,89914009,166000
2025-03-25,Samma News,6175137717,12500000
2025-03-25,Dawn news,710760999,1920000
2025-03-25,Express News,1582189041,4720000
2025-03-25,ARY News,8815584507,14500000
2025-03-25,ARY Digital,62436663451,61900000
2025-03-25,Duniya News,4897604175,8700000
2025-03-25,Aaj News,445121474,1480000
2025-03-25,92 News,1965930219,5690000
2025-03-25,GNN News,1694739873,3480000
2025-03-25,Public News,1155686279,3250000
2025-03-25,24 News hd,3847741886,8610000
2025-03-25,Bol News,3888028901,7760000
2025-03-25,Hum News,459858974,1620000
2025-03-25,Neo news,686287763,2230000
2025-03-26,Geo Entertainment,1432496305,3630000
2025-03-26,Geo News,9453045109,17900000
2025-03-26,Samma Entertainment,89917902,166000
2025-03-26,Samma News,6178750620,12500000
2025-03-26,Dawn news,711209646,1920000
2025-03-26,Express News,1583729040,4720000
2025-03-26,ARY News,8817090452,14500000
2025-03-26,ARY Digital,62468010036,62000000
2025-03-26,Duniya News,4899036925,8700000
2025-03-26,Aaj News,445879230,1480000
2025-03-26,92 News,1966721407,5690000
2025-03-26,GNN News,1695530019,3480000
2025-03-26,Public News,1155930349,3250000
2025-03-26,24 News hd,3849208165,8610000
2025-03-26,Bol News,3889336977,7770000
2025-03-26,Hum News,460079042,1620000
2025-03-26,Neo news,686394909,2240000
2025-03-27,Geo Entertainment,1433624089,3630000
2025-03-27,Geo News,9457312786,17900000
2025-03-27,Samma Entertainment,89921179,166000
2025-03-27,Samma News,6182048905,12500000
2025-03-27,Dawn news,711653552,1920000
2025-03-27,Express News,1584964604,4720000
2025-03-27,ARY News,8818604108,14500000
2025-03-27,ARY Digital,62496857059,62000000
2025-03-27,Duniya News,4900149763,8700000
